ids,date,flag,user,text,target
1467985259,Mon Apr 06 23:07:25 PDT 2009,NO_QUERY,ikimb0,my tweets arent going through,0
2193344108,Tue Jun 16 08:19:49 PDT 2009,NO_QUERY,ADSAJ,whoo actually had post about jonas that was not hated on lvatt is amazing,1
1468043785,Mon Apr 06 23:25:04 PDT 2009,NO_QUERY,Iam_S,in bed suddenly feel wish ma was here me goodnight twitterfam,0
1468012099,Mon Apr 06 23:15:14 PDT 2009,NO_QUERY,MaddiganROSE,crying my friend is moving away tomorrow,0
1467969551,Mon Apr 06 23:02:54 PDT 2009,NO_QUERY,Liinaadee,should be sleeping have stressed out week coming to me,0
1467904302,Mon Apr 06 22:44:34 PDT 2009,NO_QUERY,bsbnumber1fan,aww nick like your hair longer why did you cut it off break my heart,0
2193428783,Tue Jun 16 08:26:47 PDT 2009,NO_QUERY,witnessamiracle,sure thing,1
1467833736,Mon Apr 06 22:25:45 PDT 2009,NO_QUERY,MagicalMason,no new csi tonight fml,0
2193478782,Tue Jun 16 08:30:48 PDT 2009,NO_QUERY,MilanTeh,the count would lead to shutter death every shutter unit has it life span,1
1467842299,Mon Apr 06 22:28:03 PDT 2009,NO_QUERY,HiKeri,almost bedtime,0
2193528067,Tue Jun 16 08:34:48 PDT 2009,NO_QUERY,Natalie_1990,cant wait for born to run,1
2193502163,Tue Jun 16 08:32:41 PDT 2009,NO_QUERY,JohnWeston,party invites,1
1467878557,Mon Apr 06 22:37:36 PDT 2009,NO_QUERY,tshamysboo,dierks bentley is comin to columbus oh wanna go so bad,0
1467840552,Mon Apr 06 22:27:34 PDT 2009,NO_QUERY,weefranniev,late night snack glass of oj down with the sickness then back to sleep ugh hate getting sick,0
2193554662,Tue Jun 16 08:36:57 PDT 2009,NO_QUERY,helloKATRINA,beach then universal studios yeeeeeeman,1
1467968979,Mon Apr 06 23:02:45 PDT 2009,NO_QUERY,atothebed,april th is not coming soon enough,0
1468035969,Mon Apr 06 23:22:34 PDT 2009,NO_QUERY,totallybiannca,feel unloved dropped tweeters,0
2193525737,Tue Jun 16 08:34:36 PDT 2009,NO_QUERY,bibiminto,umpf still weeks left till holidays going to fly to vietnam yay,1
1467919765,Mon Apr 06 22:48:54 PDT 2009,NO_QUERY,aerlyne,is stressing out because my blackberry keeps flashing red alert status for no reason its faking me out and hate it,0
1467982038,Mon Apr 06 23:06:29 PDT 2009,NO_QUERY,The_Book_Thief,white trash vs us we were outnumbered,0
2193403096,Tue Jun 16 08:24:40 PDT 2009,NO_QUERY,RoryBecker,ok yeah can see that with shift middleclick to duplicate however it ll do for now,1
2193452390,Tue Jun 16 08:28:42 PDT 2009,NO_QUERY,comradephil,must have skipped the pun setting it appears to have been set to comedy freeze which would explain the dire lack of humour,1
1467979353,Mon Apr 06 23:05:41 PDT 2009,NO_QUERY,whatevershesaid,min till home time and counting have craving to visit the mac store but they will have closed by the time get there,0
1467994419,Mon Apr 06 23:10:05 PDT 2009,NO_QUERY,caityisawinner,that was so sad and unexpected totally cried haha,0
1467835198,Mon Apr 06 22:26:08 PDT 2009,NO_QUERY,ItsBrigittaYo,why is it always the fat ones,0
2193552981,Tue Jun 16 08:36:49 PDT 2009,NO_QUERY,JDenouden,that perfectly reasonable time of day for me,1
1467901500,Mon Apr 06 22:43:49 PDT 2009,NO_QUERY,thegeach,feeling down,0
1467842448,Mon Apr 06 22:28:05 PDT 2009,NO_QUERY,R_Boucher,agh snow,0
2193428596,Tue Jun 16 08:26:46 PDT 2009,NO_QUERY,WiscoPolitico,people like that clown just make it easier for the moral arc to bend towards justice see you tonight lovely,1
1468042752,Mon Apr 06 23:24:47 PDT 2009,NO_QUERY,gayrath,you cooked risotto without me,0
2193374583,Tue Jun 16 08:22:18 PDT 2009,NO_QUERY,mrowk,new to twitter glad to see so many fluff friends here yay koali is happy to see that too ok back to work,1
1467875930,Mon Apr 06 22:36:51 PDT 2009,NO_QUERY,gregcronin,missed brent at praise band no fun to not have your lead guitarist pout,0
2193403370,Tue Jun 16 08:24:42 PDT 2009,NO_QUERY,_DESiMO_,lol oh thought were serious too smh what up babes,1
1467872136,Mon Apr 06 22:35:51 PDT 2009,NO_QUERY,jinnah,why oh why was the red sox game rained out was so looking forward to opening day,0
2193343264,Tue Jun 16 08:19:45 PDT 2009,NO_QUERY,samanthayo,slept in and did not mean to oooops,1
1467929915,Mon Apr 06 22:51:46 PDT 2009,NO_QUERY,zeegirl602,my bathtub drain is fired it haz job do it iz fail got all drano on its ass iz still not draining wanna shower dangit,0
2193576442,Tue Jun 16 08:38:45 PDT 2009,NO_QUERY,emma_b_xox,had an injection today not fun the rrst of the school day has been good tonight am going dancing yey,1
2193426704,Tue Jun 16 08:26:36 PDT 2009,NO_QUERY,studdastuffy,watchmen references follow me in real it seems,1
1467819650,Mon Apr 06 22:22:05 PDT 2009,NO_QUERY,antzpantz,yay happy for you with your job but that also means less time for me and you,0
2193553340,Tue Jun 16 08:36:51 PDT 2009,NO_QUERY,nirvannah,good morning lady,1
1467950029,Mon Apr 06 22:57:33 PDT 2009,NO_QUERY,guardian_renata,oh no with everything that happened today forgot we were going dress shopping for the opera tomorrow,0
2193578269,Tue Jun 16 08:38:54 PDT 2009,NO_QUERY,millerslab,congrats mike way to go,1
1467978564,Mon Apr 06 23:05:28 PDT 2009,NO_QUERY,saltypond,is myki really horrible,0
1467874103,Mon Apr 06 22:36:20 PDT 2009,NO_QUERY,Lisaherrity,poor john this is what happens when you play with fruit and microwave seriously though have you seen doctor xxx,0
1467882491,Mon Apr 06 22:38:37 PDT 2009,NO_QUERY,Stereo_Skyline,but what really want is my old bass back,0
2193553734,Tue Jun 16 08:36:53 PDT 2009,NO_QUERY,shellyboo27,no more drives license in moth,1
1467895481,Mon Apr 06 22:42:08 PDT 2009,NO_QUERY,RedTheTrucker,my man crush jake peavy let me down gayforpeavy,0
1467881373,Mon Apr 06 22:38:18 PDT 2009,NO_QUERY,ForzaRagazza,whinging my client boss do not understand english well rewrote some text unreadable it written by good writer reviewed correctly,0
2193454024,Tue Jun 16 08:28:50 PDT 2009,NO_QUERY,dingledoink,donate to my cancer cause you cheap bugger,1
1468023022,Mon Apr 06 23:18:32 PDT 2009,NO_QUERY,SleepyShadow,why do other pet care people try to run others out of business or send suspicious mails fishing for info,0
2193345955,Tue Jun 16 08:19:58 PDT 2009,NO_QUERY,rockstarbn,nice work whore see bein sick has its advantages lotsa time to lay around and catch up on movies,1
1467924823,Mon Apr 06 22:50:19 PDT 2009,NO_QUERY,ashleyjanne,watching who framed roger rabbit makes me miss toon town,0
1468019147,Mon Apr 06 23:17:20 PDT 2009,NO_QUERY,torriRAWR,it is really cold,0
2193502443,Tue Jun 16 08:32:42 PDT 2009,NO_QUERY,stevesgirl,yes think so we got in free their here to heros program had blast loved the pengiuns bay of play,1
1467917800,Mon Apr 06 22:48:19 PDT 2009,NO_QUERY,Sarinluck,trying to reduce the number of cigarettes in each day,0
1467906345,Mon Apr 06 22:45:08 PDT 2009,NO_QUERY,aeoth,any chance softbelly for is not loud,0
2193478813,Tue Jun 16 08:30:48 PDT 2009,NO_QUERY,davoloid,and in car on street via mobile perhaps just jealous,1
1467889231,Mon Apr 06 22:40:24 PDT 2009,NO_QUERY,luannem,all this time you did not notice was gone just needed db is it,0
2193369866,Tue Jun 16 08:21:54 PDT 2009,NO_QUERY,1059therock,late great solo listen up proud mary,1
1467873004,Mon Apr 06 22:36:03 PDT 2009,NO_QUERY,omgitsjo,miss him can not wait to celebrate the tar heel win this weekend though,0
1467814883,Mon Apr 06 22:20:52 PDT 2009,NO_QUERY,gagoo,im sad now miss lilly,0
2193552958,Tue Jun 16 08:36:49 PDT 2009,NO_QUERY,angelxwarrior,no probs kazz hun think theres new one going on now celebrity twitterer or summat lol dunno just voted misha anyways,1
1467984605,Mon Apr 06 23:07:13 PDT 2009,NO_QUERY,idiom,the hoyts distribution nz website is not working for me great and it has to be like this when need it most,0
2193428755,Tue Jun 16 08:26:47 PDT 2009,NO_QUERY,craftyasparagus,using to recommend one person per day if you feel recommend check it out,1
1467947557,Mon Apr 06 22:56:50 PDT 2009,NO_QUERY,katprimeau,wheat bread from the dollar store just does not toast nicely going over my taxes and calling it an early night,0
2193475280,Tue Jun 16 08:30:31 PDT 2009,NO_QUERY,pinkiecharm,sorry for the delay but here are the twit away winners send me your mailing info via yt asap,1
2193344413,Tue Jun 16 08:19:50 PDT 2009,NO_QUERY,JessBx1025,think donnie hat got enough facetime time to stop sporting the boston logo,1
2193552501,Tue Jun 16 08:36:47 PDT 2009,NO_QUERY,Jay_Cousins,nice out but if am going to leave here at am for hike probably should at some point pack for tomorrow,1
1467876016,Mon Apr 06 22:36:52 PDT 2009,NO_QUERY,Steponme2418,think to much on the past cant change it deserved so much more then wat got but why am still thinking about him gah,0
2193577671,Tue Jun 16 08:38:51 PDT 2009,NO_QUERY,craiglparker,lol do not blame you it not the safest thing in the world,1
2193400835,Tue Jun 16 08:24:29 PDT 2009,NO_QUERY,Dannymassacur,good morning,1
2193402872,Tue Jun 16 08:24:39 PDT 2009,NO_QUERY,Cherokee727,cool they have freightliners hope it still has big engine,1
2193370131,Tue Jun 16 08:21:55 PDT 2009,NO_QUERY,TARINATARINAT,everyone needs tarina barbie doll,1
1467965832,Mon Apr 06 23:01:53 PDT 2009,NO_QUERY,lucy_g,hate allergic want puppy soo bad that ve already thought some cool names,0
2193404064,Tue Jun 16 08:24:45 PDT 2009,NO_QUERY,xoxcaitlynxox,watching hannah montana,1
1467818020,Mon Apr 06 22:21:39 PDT 2009,NO_QUERY,itsanimesh,really do not feel like getting up today but got to study to for tomorrows practical exam,0
2193428424,Tue Jun 16 08:26:45 PDT 2009,NO_QUERY,xtiantanja1015,was very surprised after stepping on the scale this morning trying to keep it up,1
1467900037,Mon Apr 06 22:43:22 PDT 2009,NO_QUERY,tracious,stupid movies we watched mirrors ugggggh stooopeeed rip off,0
1467872759,Mon Apr 06 22:35:59 PDT 2009,NO_QUERY,Augustina22CA,im lonely keep me company female california,0
2193502161,Tue Jun 16 08:32:41 PDT 2009,NO_QUERY,erincarrasco,looks like it time for lunch on the patio again,1
2193552062,Tue Jun 16 08:36:44 PDT 2009,NO_QUERY,_Jackielynn_,just woke up might watch chick flick later lol,1
1467961817,Mon Apr 06 23:00:47 PDT 2009,NO_QUERY,Capt_Planet,is grouchy and wants bmar,0
2193576360,Tue Jun 16 08:38:44 PDT 2009,NO_QUERY,MandyStocker,dropping molly off getting ice cream with aaron want him to meet manda spending the night with meredith and lauren missed them dearly,1
1467965994,Mon Apr 06 23:01:56 PDT 2009,NO_QUERY,lanaveenker,sorry to hear about your loss there have been many this year so far,0
1467935121,Mon Apr 06 22:53:14 PDT 2009,NO_QUERY,SicklyInfected,wanna be in punk rock band again,0
1467896911,Mon Apr 06 22:42:30 PDT 2009,NO_QUERY,diet_lard,oh jew bus two years worth of classes work is alot to organize not finishing tonight it not possible my bones ache,0
1467971318,Mon Apr 06 23:03:23 PDT 2009,NO_QUERY,wiwiwinDra,vacations makes me feel sick,0
2193374881,Tue Jun 16 08:22:19 PDT 2009,NO_QUERY,MrsLoulou,it was great post,1
2193476238,Tue Jun 16 08:30:36 PDT 2009,NO_QUERY,PaulaCook,fine chatting with people and pretending to be working,1
1468006962,Mon Apr 06 23:13:39 PDT 2009,NO_QUERY,sheilaelaine,debating if should just shower now so can sleep little later tomorrow,0
1467834284,Mon Apr 06 22:25:54 PDT 2009,NO_QUERY,basiabeans,damn do not have any chalk my chalkboard is useless,0
1467986976,Mon Apr 06 23:07:55 PDT 2009,NO_QUERY,zerhynn,unfortunately one of those moments was not giant squid monster,0
2193552929,Tue Jun 16 08:36:49 PDT 2009,NO_QUERY,appliedlesson,that too apparently they are out there but in hiding suspect,1
2193426565,Tue Jun 16 08:26:36 PDT 2009,NO_QUERY,CanniCandyfloss,aww nice what that,1
1467935189,Mon Apr 06 22:53:15 PDT 2009,NO_QUERY,AshleighF,that lot of angst for tuesday afternoon,0
2193576797,Tue Jun 16 08:38:47 PDT 2009,NO_QUERY,jaycemiguel,yeah it very irritating right but with god on your side you cant fail,1
1467948521,Mon Apr 06 22:57:07 PDT 2009,NO_QUERY,amomca,hey you remember that time we used to be friends ugh vomit sick need sleep,0
2193345927,Tue Jun 16 08:19:59 PDT 2009,NO_QUERY,nonsequitir,yeah keep forgetting it sports brain is programmed to think photos at slower pace must diversify,1
1468039895,Mon Apr 06 23:23:52 PDT 2009,NO_QUERY,squishymatter,ouch sounds very sucky,0
2193372637,Tue Jun 16 08:22:08 PDT 2009,NO_QUERY,jlocken,looking for graphic design job and or photography assignments let me know,1
1467811372,Mon Apr 06 22:20:00 PDT 2009,NO_QUERY,joy_wolf,not the whole crew,0
2193344250,Tue Jun 16 08:19:50 PDT 2009,NO_QUERY,JessicaKardynal,good luck,1
2193401955,Tue Jun 16 08:24:35 PDT 2009,NO_QUERY,robianaaa,meet me at the mall,1
2193503437,Tue Jun 16 08:32:47 PDT 2009,NO_QUERY,alethiatoh,thanks,1
2193504216,Tue Jun 16 08:32:52 PDT 2009,NO_QUERY,911guiltyjerk,if you can not find some stories you could make today the fallout spoiler show also just finished it for my first time yay me,1
1467836500,Mon Apr 06 22:26:28 PDT 2009,NO_QUERY,natalieantipas,so rylee grace wana go steve party or not sadly since its easter wnt able do much but ohh well,0
1467988885,Mon Apr 06 23:08:27 PDT 2009,NO_QUERY,Linda8286,and you were trying to go to sleep hours ago,0
2193527751,Tue Jun 16 08:34:46 PDT 2009,NO_QUERY,jacodenn,hope it all goes well for you at the dr today,1
2193426924,Tue Jun 16 08:26:37 PDT 2009,NO_QUERY,valpo134,waited and waited and nothing not surprising signing legal documents today to officially change my name to laquiesha,1
1468005297,Mon Apr 06 23:13:10 PDT 2009,NO_QUERY,fuzzywuzzy1,how come ur background covers the screen but mine is in the corner,0
1467900898,Mon Apr 06 22:43:38 PDT 2009,NO_QUERY,SullieSullivan,do not understand why things get taken away did not have enough time with him its unfair want him back he was like my baby,0
1468039428,Mon Apr 06 23:23:44 PDT 2009,NO_QUERY,BerinaOhh,can not sleep either,0
1467901346,Mon Apr 06 22:43:46 PDT 2009,NO_QUERY,gildardomunoz,dang another spring break how cool is that too bad have to work all week oh well more money for phone ttyl everbody,0
1467843734,Mon Apr 06 22:28:26 PDT 2009,NO_QUERY,chatpataa,my nokia died,0
2193576854,Tue Jun 16 08:38:47 PDT 2009,NO_QUERY,lindsaycherry,love all the pics,1
1467926153,Mon Apr 06 22:50:43 PDT 2009,NO_QUERY,IGetsBusy514,negative you lost my vote of confidence,0
1468033025,Mon Apr 06 23:21:39 PDT 2009,NO_QUERY,strifethe3rd,so far have on all my sites put together most of them were me checking out the updates made,0
2193343863,Tue Jun 16 08:19:48 PDT 2009,NO_QUERY,charchaos,thanks gotta go in for few more days just in case people ask questions about our work but apart from that it summer,1
2193528075,Tue Jun 16 08:34:48 PDT 2009,NO_QUERY,rach3lizabeth,good morning everyone,1
2193345790,Tue Jun 16 08:19:57 PDT 2009,NO_QUERY,Slappyman,lay back down and will rub your back and feet until you are ready to get up,1
2193371140,Tue Jun 16 08:22:00 PDT 2009,NO_QUERY,LogPoes,glad to be of help,1
1468012152,Mon Apr 06 23:15:14 PDT 2009,NO_QUERY,shuvra,thinks she is getting cold that she caught from daddy oh no my trip would be ruined,0
2193370458,Tue Jun 16 08:21:57 PDT 2009,NO_QUERY,kencasey,bet you look great also with shorter cut you might be cooler and awesomer,1
1467983950,Mon Apr 06 23:07:02 PDT 2009,NO_QUERY,Nessie,augh eff sarth stole some of mil nail polish its pretty,0
2193527685,Tue Jun 16 08:34:46 PDT 2009,NO_QUERY,COOLIEOBOJULIEO,is going tanning hopfully get lil more darker love yas ya xoxo,1
2193345783,Tue Jun 16 08:19:57 PDT 2009,NO_QUERY,lartist,absolutely we ve already booked our table and rooms,1
2193402170,Tue Jun 16 08:24:36 PDT 2009,NO_QUERY,ankitsharda,one thing good about recessions is they all end,1
2193525371,Tue Jun 16 08:34:34 PDT 2009,NO_QUERY,misserikagee,okay kinda late on response so goodmorning hahaha lol your welcome,1
2193426801,Tue Jun 16 08:26:37 PDT 2009,NO_QUERY,DowneyChick,great where are you from,1
1467918728,Mon Apr 06 22:48:35 PDT 2009,NO_QUERY,TidyCat,lol nope but did have complete camerafail,0
2193554201,Tue Jun 16 08:36:55 PDT 2009,NO_QUERY,twilhelmsen,well it still tuesday so no worries ve made my twd on tuesday more times than can tell you,1
2193526461,Tue Jun 16 08:34:40 PDT 2009,NO_QUERY,xLisaaLollipop,now tha bomb,1
2193528750,Tue Jun 16 08:34:51 PDT 2009,NO_QUERY,pomacious,another majestic place this one is in java indonesia google it and look at the photo,1
2193451675,Tue Jun 16 08:28:38 PDT 2009,NO_QUERY,veddegre,wireless access has been installed in the baldwin observatory too bad it may never be used luckily it can help with outdoor coverage,1
2193403657,Tue Jun 16 08:24:43 PDT 2009,NO_QUERY,PavanKumar,simple was not using my laptop,1
1467982281,Mon Apr 06 23:06:33 PDT 2009,NO_QUERY,A_Gael,which is pretty anti memorial tattoos but for all but the strictest there no official ban just disapproving family,0
2193478173,Tue Jun 16 08:30:45 PDT 2009,NO_QUERY,alytietz,yooou should lemme borrow them,1
2193454228,Tue Jun 16 08:28:51 PDT 2009,NO_QUERY,panicxx,good cinema exam,1
2193528324,Tue Jun 16 08:34:49 PDT 2009,NO_QUERY,hgreilly,you have to make sure you come though lol,1
2193345755,Tue Jun 16 08:19:57 PDT 2009,NO_QUERY,xxNat91xx,summer is defo going to be boring can tell woop woop party friday and sat tho,1
1467878633,Mon Apr 06 22:37:35 PDT 2009,NO_QUERY,husqvarna,have to take my sidekick back,0
1467897316,Mon Apr 06 22:42:37 PDT 2009,NO_QUERY,nicolegreen,hope this does not last too long feel miserable,0
1467923775,Mon Apr 06 22:50:03 PDT 2009,NO_QUERY,chann16,oh my yes miss,0
1467892075,Mon Apr 06 22:41:09 PDT 2009,NO_QUERY,ARExistence,wish was sold out if you have some time let me know would love to hear more about what you are up to,0
1468019183,Mon Apr 06 23:17:20 PDT 2009,NO_QUERY,LittleOne1210,cant sleep she wants to dream,0
1468000208,Mon Apr 06 23:11:44 PDT 2009,NO_QUERY,stevejabs,man taxes suck horrified that did something wrong on them turbotax decided to keep around lot of the stuff turned off,0
